content,keywords,rating,satisfaction,date,year,month,season,text_len
가볍게 읽기 시작해서 많은 생각에 잠기게 하는 얘기였다 특히 9번째 이야기를 읽으며 얼마전 돌아가신 외할머니가 생각났고 언니 꿈에 나타난 외할머니가 엄마랑 잘 놀아주라 당부하고 아직 엄마 꿈에 나타나지 않아 속상해 하던 엄마가 생각났다 아마도 소설에서 처럼 외할머니가 엄마가 아직 힘들어 하는걸 아시고 조금 더 시간이 지난후에 나타나려고 꿈을 예약해 뒀을지도 모르겠다는 상상을 하며 마음 한 구석이 아련해 지는 느낌을 받았다 또한 꿈이 나의 하루의 피로감을 풀어주고 어려움을 극복하는 힘을 주며 내일 새로운 희망을 가져다 주면서 나의 다양한 생각과 감정을 키워주는 소중한 시간임을 책을 통해 느낄 수 있었다,가볍다 읽다 시작 많다 생각 잠기 얘기 이다 특히 이야기 읽다 얼마 돌아가다 외할머니 생각나다 언니 나타나다 외할머니 엄마 자다 놀다 당부 아직 엄마 나타나다 않다 속상하다 엄마 생각나다 아마도 소설 처럼 외할머니 엄마 아직 힘들다 는걸 아시 조금 시간 나타나다 예약 두다 모르다 상상 마음 구석 아련하다 지다 느낌 받다 또한 하루 피로 풀다 어려움 극복 주다 내일 새롭다 희망 가다 주다 다양하다 생각 감정 키우다 소중하다 시간 통해 느끼다,5,Positive,2020-10-20,2020,10,Fall,339
와 책잘안보는데 이건정말 너무재밌네요 몽글몽글 정말 처음이에요 책읽으면서 이런감정드는거 작가님 작품활동 많이하셔서 좋은작품많이보고싶어요 감사하네요정말,오다 보다 정말 너무 재밌다 몽글몽글 정말 처음 읽다 감정 들다 작가 작품 활동 많이 좋다 작품 보고 싶다 감사하다 정말,5,Positive,2020-10-16,2020,10,Fall,83
한글자 한글자가 전부 예뻐보이는 힐링책 이네요 잠들기전에 책보시는분들 필독서 오늘도 꿈꾸러갑니다,글자 글자 전부 예쁘다 보이다 힐링 이다 잠들다 기전 보시 필독 오늘 꿈꾸다 가다,5,Positive,2020-10-15,2020,10,Fall,53
동심으로 돌아가는 기분이었어요 유치하지도 않아서 부담없이 편하게 읽을 수 있었어요 표지가 조금 동화같아서 살까말까 고민을 많이 했는데 저와 같은 고민을 하는 분이 계시다면 더 깊이 생각하지 말고 사세요 꿀잼입니다,동심 돌아가다 기분 이다 유치하다 않다 부담 없이 편하다 읽다 표지 조금 동화 같다 까맣다 고민 많이 같다 고민 계시다 깊이 생각 사다 꿀잼 이다,5,Positive,2020-10-12,2020,10,Fall,118
한동안 소설을 읽지 않았고 국내 소설은 더더욱 읽지 않은 기간이 길었는데 모처럼 재미있는 책을 만났습니다 주제가 신선하고 중간 중간 와닿는 문구가 있어요,한동안 소설 읽다 않다 국내 소설 더욱 읽다 않다 기간 길다 모처럼 재미있다 만나다 주제가 신선하다 중간 중간 오다 닿다 문구,5,Positive,2020-10-04,2020,10,Fall,85
오랫만에 마음이 좋아요,마음 좋다,5,Positive,2020-09-28,2020,9,Fall,12
첫 스토리구성 시작할때는 괜찮았습니다 제목이 주는 판타지 함도 있었구요 근데 내용이 점점 갈수록 안읽히고 한국내용인지 외국내용인지 모르겠는 장면전환의 설정과 세계관이 너무 허술해서 판타지의 신비스러움이 부자연스럽습니다 물론 전달하고자 하는 의미는 후반부로 갈수록 느껴지지만 정말 잠시뿐인 감동이에요 제생각엔 컨셉자체는 너무좋지만 이걸 풀어나가는 내용이 냉정하게 재미없습니다 한마디로 스토리가 많이 부실합니다 그렇다고 호로록 읽히는 가독성이 좋은 책이냐 그건 아닙니다 캐릭터 이해하느냐고 오래걸리더라구요 마지막으로는 독자들의 찬사가 문제인것같습니다 대작인 해리포터를 비교해서 굉장히 기대를 많이한 책이였거든요 시리즈로 한번에 다구매했는데 조금 후회됩니다 많이 아쉽네요 1편은,스토리 구성 시작 괜찮다 제목 주다 판타지 근데 내용 점점 갈수록 읽히다 한국 내용 외국 내용 모르다 장면 전환 설정 세계관 너무 허다 판타지 신비 스럽다 부자연스럽다 물론 전달 의미 후반 부로 갈수록 느껴지다 정말 잠시 감동 생각 컨셉 자체 너무 좋다 풀다 나가다 내용 냉정하다 재미없다 한마디 스토리 많이 부실하다 호로록 읽히다 가독성 좋다 그건 아니다 캐릭터 이해 오래 걸리다 마지막 독자 찬사 문제 같다 대작 해리포터 비교 굉장하다 기대 이다 시리즈 한번 구매 조금 후회되다 많이 아쉽다,2,Negative,2025-01-09,2025,1,Winter,376
저만그런가요 안읽혀요 2편도 나왔네요 시작하면 끝을봐야하는데 안 읽혀요 노력해볼께요 끝맺지않음 찝찝함이 오래갈것같아서,가요 읽히다 편도 나오다 시작 보다 읽히다 노력 해보다 맺다 않다 찝찝하다 오래 갈다 같다,2,Negative,2021-08-23,2021,8,Summer,65
음 책이 너 과대평가된게 아닌가 싶네요 읽는 내내 아쉬웠습니다 깊이 있지 않고 그냥 조잡했어요 따로 공감가는 내용도 없고 하도 마케팅하는 책이길래 구매했는데 실망입니다 그냥 겉만 핥다 끝나는 책같아요,과대 평가 되다 아니다 싶다 읽다 내내 아쉽다 깊이 않다 그냥 조잡하다 따로 공감 가다 내용 없다 마케팅 이기다 구매 실망 이다 그냥 핥다 끝나다 같다,2,Negative,2021-07-04,2021,7,Summer,111
베스트셀러에 올라와있던 달러구트꿈백화점은 소재부터 정말 마음이 갔다 잠들어야만 입장이 가능한 신비로운 마을이 있고 그 곳에는 꿈을 살 수 있는 백화점이 있다니 판타지 소설은 우리의 세상과 완전히 동떨어져 있을 때 보다 우리도 어쩌면 이라는 마음이 들때 우리의 삶과 맞닿는 부분이 있을 때 더 깊이 빠지게 되는 것 같다 기차를 타고 호그와트를 갈 수 있고 머글들과 마법사가 함께 살아가는 해리포터 시리즈 처럼 그리고 무엇보다 독자가 남긴 책 추천사를 읽고 바로 장바구니에 담았었다 호그와트 다음으로 가보고 싶은 환상의 세계를 선물했다 라니 호그와트를 사랑하는 한 사람으로 꼭 확인해 봐야 하는 문구라고 생각했던 것 같다 혹은 호그와트와 비교할 정도라면 이라는 기대감도 있었다 책을 읽으면서 그 동화같은 마을을 상상하는 재미도 있고 소설에 나오는 다양한 캐릭터를 알아가는 재미도 있다 우리 이야기가 담겨있어 웃고 울며 동화같은 이야기를 즐겁게 읽어가는 동안 오늘밤 나는 백화점에서 어떤 꿈을 구매할까 나는 오늘 어떤 꿈을 꾸게 될까 하는 즐거운 생각이 들기도 했다 책을 덮을 때가 되어서야 나는 책 표지를 다시 한 번 들여다 봤다 제목뒤에 1 이라든지 상 이라든지 후속편을 알리는 무언가가 빠져있다는 생각이 들었다 잠들어야 닿을 수 있는 상상속 마을 달러구트의 꿈 백화점 너무나도 매력적인 캐릭터들의 이야기가 이것으로 끝일리가 없다는 생각을 했기 때문이다 아직 우리에게 필요한 꿈들이 많이 남아있을 텐데 후속편을 기다리게 되는 소설이다,베스트셀러 올라오다 달러 구트 백화점 소재 정말 마음 가다 잠들다 입장 가능하다 신비롭다 마을 백화점 판타지 소설 우리 세상 완전하다 동떨어지다 보다 우리 어쩌면 마음 들다 우리 맞닿다 부분 깊이 빠지다 되다 같다 기차 타고 호그와트 갈다 머글 마법사 함께 살아가다 해리포터 시리즈 처럼 무엇 독자 남기다 추천사 읽다 바로 장바구니 담다 호그와트 다음 가보다 싶다 환상 세계 선물 호그와트 사랑 사람 확인 보다 문구 생각 같다 혹은 호그와트 비교 정도 라면 대감 읽다 동화 같다 마을 상상 재미 소설 나오다 다양하다 캐릭터 알다 재미 우리 이야기 담기다 웃다 울다 동화 같다 이야기 즐겁다 읽다 동안 오늘밤 백화점 어떻다 구매 오늘 어떻다 꾸다 되다 즐겁다 생각 들다 기도 덮다 되어다 표지 다시 들이다 보다 제목 속편 알리다 무언가 빠지다 생각 들다 잠들다 닿다 상상 마을 달러 구트 백화점 너무나도 매력 캐릭터 이야기 끝일 리가 없다 생각 때문 아직 우리 필요하다 많이 남다 속편 기다리다 되다 소설,5,Positive,2020-12-30,2020,12,Winter,745
