rating, date, content
"4","2021.10.30","초반에는 살짝 러프하다고 생각했으나 읽으면 읽을수록 매료되는 스토리군요. 좋은 책이었습니다!"
"4","2021.10.30","참신한 소설 잘 읽었습니다 철학적인 부분도 읽고 추천합니다"
"5","2021.10.24","동화같고 읽는 내내 꿈 속에 있는 기분… 너무 좋아요ㅠㅠㅠ"
"4","2021.10.21","어른들을 위한 동화"
"5","2021.10.20","잔잔하고 따스한 이야기"
"4","2021.10.19","잔잔하게 재밋네영 한국소설 아닌거같은데 한국적임"
"5","2021.10.19","꿈에 대한 새로운 시선과 우리가 꿈에 대해 생각이 잘어우러져 잘읽히고 낯익으면서도 신선했습니다"
"4","2021.10.18","꿈 속에서 벌어지는 일들로 우리 삶을 이야기하는 마음 따듯해지는 이야기. 재밌게 읽었네요"
"5","2021.10.11","동화같은 이야기 상상력이 많이 필요합니다 그러나 읽다보면 현실의 나를 만나게되는 이야기 입니다"
"5","2021.10.08","정말 재미있게 술술 읽었네요"
"5","2021.10.03","책을 읽고 꿈을 꿉니다. 달라구트 백화점에 꿈을 사러…"
"5","2021.09.29","추운 겨울 밤 체크 무늬 파자마에 털 슬리퍼를 신고 따뜻한 벽난로 곁에서 마시는 핫초콜렛 한 잔 같은 책이었어요. 해리 포터를 연상시키는 세팅과 묘사,인물 등이 많게 느껴졌는데, 그게 저는 싫지 않았습니다."
"5","2021.09.28","꿈을 꾸면서 느낄수 있는 설렘과 즐거움을 소설로 잘써놔서 흥미롭게 읽었어요 영화나 드라마로 나오면 재미있고 좋겠네요"
"4","2021.09.27","복집한 생각이 많을때 읽기 좋은 책 이에요 산뜻하고 가벼운 느낌을 주는 글이에요!"
"5","2021.09.24","4.5점을 주고싶네요 잔잔한 동화"
"5","2021.09.20","너무재밌게 잘 봤어요!! 동심으로 돌아간듯 빠져서 봤네요 어른을위한 동화!"
"2","2021.09.18","기대보다 별로….."
"3","2021.09.04","동화입니다. 그 이상을 기대하시면 많은 곤란함을 느끼실 거라 확신합니다. 갈등도 모험도 서사도 없습니다.  유치원에 다닐 때 즈음 자기 전 부모님께서 읽어주시던 동화책 같은 느낌입니다. 자기 전 동화라 생각하시고 읽으면 그냥 저냥 볼만합니다."
"5","2021.08.30","꿈속에 담겨있는 인생의 희노애락을 모두 느낄수 있었습니다."
"5","2021.08.30","보편적 꿈에 발칙한 상상을 얹어 구축해낸 매력적인 세계관"
"5","2021.08.25","판타지인데 우리의 삶이 너무 잘 묻어있네요 카페에서 읽으면서 울음 참느라 혼났어요????"
"5","2021.08.17","좋네요.. 한동안 악몽에 시달리다 책을 읽던 중엔 악몽에서 벗어나고 꿀잠을 자고있네요.. 이것또한 놀랍고 좋아요ㅎ"
"4","2021.08.10","쉽게 읽혀서 타임킬링 도서로 추천합니다. 흥미로운 소재여서 재미있게 읽었어요. 어린 친구들이 좋아할 것 같네요!"
"1","2021.08.07","초등학생들에게 추천합니다."
"5","2021.08.07","쉽게 읽히고 상상력을 자극하되 몽글몽글 아릿한 그리움도 건드리고마는 즐거운 책이었어요 2권도 읽어보고싶어요"
"3","2021.08.05","꿈에 대한 기분좋은 상상력은 있으나 통찰력은 느껴지지 않았다. 아기자기한 이야기들은 그 이상의 사고를 유발하지 못해 아쉬웠다. 특별한 이야기 같았지만 조금 더 특별할 필요가 있었다."
"5","2021.07.30","사랑스러운 이야기, 사랑스러운 등장인물, 마음이 정화되는 소설을 선물 받은 것 같다. 집에서 조용히 맥주 마시면서 이야기를 음미하기 좋은 책"
"1","2021.07.27","작가가 원래 하고 싶었던 이야기는 몇 쪽 안 되는 맨 마지막 장인 듯. 마지막 장의 두 장면만 빼고 억지로 분량 채우려 쓴 것처럼 지루하기 짝이 없는 이야기. 읽는 게 고역입니다."
"5","2021.07.26","마음이 따뜻해지네요"
"5","2021.07.24","재미있어요. 꿈에 대해 다시 한 번 생각해보는 계기도 됐네요. 꿈은 내 무의식의 세계가 나타나는 거라는데 내 무의식에 담길 나를 위해 오늘도 즐겁게 지내야 겠어요.^^"
"4","2021.07.19","꿈을 파는 가게라는 설정이 독특하다. 창의적이면서도 일상적이고 따뜻한 글"
"5","2021.07.11","너무 재미있고 사랑스러운 이야기"
"5","2021.07.08","잠자기 전, 상상력을 돋우는 책.  내용 자체는 잔잔한 흐름을 띄고 있어서 책을 읽다가 자거나, 시간을 때우는 용도로 편하게 읽을 수 있었습니다."
"5","2021.06.27","잠들기 전 책을 읽으며 잠드는편인데 술술 읽히고재밌었어요!"
"3","2021.06.25","재미있고 금방 읽히기는 한데 저한테는 단지 그뿐이였어요. 전달하고자 하는 메세지가 뭐지? 하는 생각이 드네요."
"3","2021.06.12","책장이 술술 넘어갈 정도로 소재가 흥미로우나 주인공 성격과 꿈 아닌 현실 내용들이 와닿지 않아서 조금 아쉬웠습니다"
"5","2021.06.11","책 한권을 이렇게 빨리 읽은적이 있었나 하는 생각을 들게했던 책이었어요. '나도 손님이 되어 매일 밤 꾸고싶은 꿈을 고를 수 있다면 참 좋겠다'는 행복한 생각을 해봅니다."
"5","2021.06.11","꿈에피소드들 마다 인물 들의 희노애락이 묻어나요. 자신의 삶에 만족하는 것, 할머니의 마끼아또 꿈을 생각하면 아직도 눈물이 도네요."
"4","2021.06.09","잠자기 전에 잔잔한 음악과 함께 노란빛 모드등 켜놓고 침대에서 읽다가 자기 좋은 책이에요.....딱 나른한 느낌??"
"3","2021.06.05","신선한 소재의 무난한 동화"
"5","2021.05.31","재미있게 읽었습니다. 마음이 따뜻해지는 판타지 소설이네요."
"4","2021.05.29","가볍게 읽을 수 있으면서 재미도 있었던 소설이네요!"
"2","2021.05.28","동화같네요 유치해요"
