rating,date,content,content_len,content_preprocess,content_word_count,year,month,sentiment,bow_가다,bow_가볍다,bow_감동,bow_기분,bow_꾸다,bow_내용,bow_동화,bow_따뜻하다,bow_마음,bow_마지막,bow_많다,bow_백화점,bow_사람,bow_상상,bow_상상력,bow_생각,bow_소재,bow_술술,bow_시간,bow_신선하다,bow_어른,bow_이렇다,bow_읽히다,bow_작가,bow_잔잔하다,bow_재미있다,bow_재밌다,bow_좋다,bow_추천,bow_한국
4,2021-05-15,요새처럼 혼탁한 때에 마음편히 읽기 좋은 책.,25,요새 혼탁 때 마음 편하다 좋다,7,2021,5,positive,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2021-05-13,눈물이 찔끔... 생각이 많아지게 하는 책이네요,26,눈물 생각 많아지다 요,6,2021,5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021-05-12,오랜만에 아주 재밌고 통통튀는 기발한 책을 읽었습니다. 마음이 따뜻해지고 괜시리 꿈이 꾸고 싶어지는 책이네요. 요 몇일 잠을 못자서 더 그런 것 같아요. 작가님의 차기작도 기대됩니다.,102,아주 재밌다 통통 튀다 기발하다 마음 따뜻하다 괜시리 꿈 꾸다 요 요 일 잠 못자다 그렇다 작가 차기작 기대,25,2021,5,positive,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5,2021-05-07,아기자기하고 귀엽습니다. 재미있게 읽었어요. 영화로 나오면 좋겠네요,37,아기자기하다 귀엽다 재미있다 영화로 좋다,7,2021,5,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
3,2021-05-07,....유치합니다....ㅜㅜ,15,유치하다,1,2021,5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021-05-05,"간결하게 읽히는 가독성 좋은 문체에 페니 중심으로 알게 되는 달러구트 꿈 백화점의 이야기가 신선하면서도 친근하게 느껴졌습니다. 달러구트가 말하는 문장들이 가슴 깊숙이 와닿을 때도 있었어요. 만약 제가 꿈 백화점에 가면, 어느 층에 갈 지 상상하는 것도 꽤 재미있었고.. 시간이 지나서 다시 꺼내어 읽어보고 싶은 동화같은 이야기 였습니다. 잘 읽었어요:)",197,간결하다 읽히다 가독성 좋다 문체 페니 중심 알 달러 구트 꿈 백화점 신선하다 친근하다 느껴지다 달러 구트 말 문장 가슴 오다 닿다 때 만약 제 꿈 백화점 가면 층 갈다 지다 상상 꽤 재미있다 시간 지나다 다시 꺼내다 보고 동화,48,2021,5,positive,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0
5,2021-05-03,중간까진 ‘내가 너무 기대했나?’ 라는 생각이 들정도로 지루했습니다 이후론 뒷이야기가 궁금해 빨리 읽혀졌고 정말 나도 꿈백화점을 다닐까 라는 재밌는 상상도 하게됐습니다 잘읽었습니다 작가님,104,중간 내 기대하다 생각 정도 지루하다 이후 론 뒷이야기 궁금하다 읽히다 나다 꿈 백화점 다니다 재밌다 상상 돼다 작가,23,2021,5,positive,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0
3,2021-05-02,잔잔하면서 술술 읽히는 책이었습니다. 하지만 끝맺음이 딱히 없어서 조금 아쉽습니다.,46,잔잔하다 술술 읽히다 끝 맺다 딱하다 조금 아쉽다,10,2021,5,neutral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
5,2021-04-21,"이 책을 읽고 나서 침대에 누워 잠들기 전,  잠든 내가 달러구트의 백화점으로 찾아갈 것 같은 상상을 합니다ㅎㅎ",62,나서다 침대 눕다 잠들다 전 잠들다 내 달러 구트 백화점 찾아가다 상상,17,2021,4,positive,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021-04-19,소재도 신선하고 읽으면서 굉장히 기분이 좋아지는 책이에요 추천합니다!!,39,소재 신선하다 굉장하다 기분 좋아지다 추천,8,2021,4,positive,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
5,2021-04-18,소재가 너무 귀엽고 힐링이 되는 책이에요 한번쯤 궁금하게 느껴졌던 꿈의 세계가 정말 있을것만 같고 요즘 계속 꿈을 꾸었는데 저도 왠지 단골손님중에 하나가 아닐까하는 생각이 들었습니다,101,소재 귀엽다 힐링 한번 궁금하다 느껴지다 꿈 세계 요즘 계속 꿈 꾸다 단골 손님 하나 생각,25,2021,4,positive,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021-04-17,책이 너무 귀여워요. 책을 통해 이런 세상을 만나볼 수 있어서 너무 행복했습니다.,45,귀엽다 통해 이렇다 세상 나볼 행복하다,12,2021,4,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
4,2021-04-14,포근한 환상동화같은 느낌이에요ㅎㅎ 진행도 내용도 잔잔해요,31,포근하다 환상 동화 진행 내용 잔잔하다,6,2021,4,positive,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4,2021-04-12,용두사미. 뱀의 꼬리이긴 한데 그 뱀이 참 예뻤습니다.,30,용두사미 뱀 꼬리 이기다 뱀 차다 예쁘다,8,2021,4,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021-04-12,매일 꿈을꾸는사람으로써 굉장히 흥미롭게 봤습니다.굿,28,매일 꿈 꾸다 사람 굉장하다 흥미롭다 굿,5,2021,4,positive,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2021-04-11,"달러구트의 꿈의 백화점을 읽고 꿈에 대한 생각이 조금 바뀌었다. 어쩌면 그냥 무의식중에 꾸는 꿈이 나도모르는 사이 꿈의 백화점에 가서 내가 고른 꿈은 아닐까? 꿈의 제작자 이야기, 달라구트 이야기, 세제자 이야기 모두 새롭게 재미있었다.  밤에 잠을 청할때 오늘은 어떤 꿈이 기다릴지 기대가 되게 만들어 준 고마운 책이다.  외국소설일 것 만 같았는데~~ 우리나라 작가가 이렇게 멋진 소설을 쓰다니 ~~ 멋지다~^^*",233,달러 구트 꿈 백화점 꿈 대한 생각 조금 바뀌다 어쩌면 그냥 무의식 꾸다 꿈 나다 모르다 사이 꿈 백화점 가다 내 고르다 꿈 꿈 제작자 달라 구트 제자 모두 새롭다 재미있다 밤 잠 청 때 오늘 어떻다 꿈 기다리다 기대 만들다 준 고맙다 외국 일 우리나라 작가 멋지다 쓰다 멋지다,58,2021,4,positive,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
5,2021-04-11,매끄럽게 읽히는 좋은 문장과 책속의 세계에 푹 빠질 수 있는 즐거운 시간이었습니다,45,매끄럽다 읽히다 좋다 문장 책속 세계 푹 빠지다 즐겁다 시간,12,2021,4,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
5,2021-04-09,책 속 세계에 들어가고싶을반큼 몰입해서 재밌게 읽었어요!,31,속 세계 들어가다 반 크다 몰입 재밌다,7,2021,4,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5,2021-04-02,재밌는데 마무리가 없는 느낌,15,재밌다 마무리,4,2021,4,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4,2021-03-31,가볍게 읽기 좋은 소설!,13,가볍다 좋다,4,2021,3,positive,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
5,2021-03-30,낭만적인 이야기다.°∆°,13,낭만,2,2021,3,positive,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
