rating,date,content
3,2021-07-31,꿈에 대한 이야기 전개가 신선하네요. 진부하거나 유치할 수도 있는 모티브를 오묘하게 풀었네
3,2021-05-27,어른이 읽는 동화같은 소설
3,2021-05-14,보고싶던 책이었어요
3,2021-04-11,청소년에게 추천합니다
3,2021-04-10,끝맺음이 아쉽네요. 색다른 맛이 있는 동화책
3,2021-04-07,책 내용은 되게 다양했는데 저는 그렇게 재미가 있다고는 느끼진 못해서 아쉬운 책이였습니다ㅠ
3,2021-03-20,운도 맞아야 하나 부나
3,2021-03-15,가볍게 읽기 좋은 책
3,2021-02-06,상상력은 뛰어나지만 기억에 남는 것은 없는. 자극은 다채롭고 다양하지만 깊이는 없는.
3,2021-01-02,"베스트셀러라 기대를 했던 건지, 저는 좀 아쉬웠어요. 그래도 영화로 만들면 좋겠다 싶어요."
3,2020-12-11,동화같은이야기
3,2020-12-11,자주 언급되길래 궁금해서 구매
3,2020-12-03,아직 읽고 있는데 속독이라 많이 와 닿지 않아요...그래도 완돋해보렵니다
3,2020-11-25,꿈속에서만 존재하는 마을이라...그곳 사람들은 계속 자고 있다는 건가?
2,2021-07-18,인기가 너무 많아 궁금해 구입했습니다. 제 취향은 아니네요
5,2024-03-31,좋습니다
5,2024-02-12,잘읽었습니다
5,2024-01-28,몽환적인 분위기의 책!
5,2023-11-14,간만에 재미있게 봤어요
5,2023-11-04,몰입해서 계속 보게됩니다~
5,2023-11-03,그럭저럭
5,2023-10-10,나도 가고 싶은 꿈 백화점
5,2023-09-19,재미있어요.
5,2023-09-18,꿀잼
5,2023-09-13,최고입니다
5,2023-08-25,"정말이지, 완벽한 하루야."
5,2023-08-24,잘 일었습니다
5,2023-06-30,내용도 좋고 감동적이였습니다.
5,2023-06-04,"너무나 재미있게 잘 읽었고요, 초등 고학년 아이도 재밌다고 합니다"
5,2023-06-02,우연히 눈에 띈 책. 아직 읽어 보진 않았지만 기대됩니다.
5,2023-05-29,추천이 많아서 소설 2000원 교환권 주길래 사봤는데 재밌게 잘 봤어요
5,2023-05-29,재미있어요
5,2023-05-25,술술 읽혀서 무방비상태로 읽다가 눈물 주륵주륵
5,2023-05-22,정말 무의식 속의 이야기 같아요 ㅎㅎ 놀라면서 재밌게 읽었습니다
5,2023-05-11,아직 읽진 않았지만 재밌다고 하니 기대됩니다.
5,2023-05-01,재밌어요!
5,2023-04-26,좋아요 추천합니다
5,2023-04-18,꿈에 대한 생각을 바꿔준 책. 밤에 잠 안 와서 읽다가 밤 새서 한 번에 다 읽음
5,2023-04-15,이 책을 읽는 동안 시간이 가는 줄 몰랐다.
5,2023-04-05,너무 좋은 내용이네요
5,2023-03-12,"몽글몽글 귀여운, 힐링이 되는 소설이었습니다."
5,2023-02-06,.
5,2023-02-06,피곤하다고만 느끼게 했던 꿈에 대한 새로운 시각을 가지게 해준다 .
5,2023-02-03,너무 재밌다
5,2023-01-22,재미있어요
5,2023-01-20,표지에 반한 책
5,2023-01-09,재밌어요
5,2022-12-31,제목부터 저를 끌어당겨서 읽개됐는데 시간가는줄 모르고 읽었습니다.
5,2022-12-19,재밌을거 같아서 주문했는데 시간가는줄 모르고 읽었어요~ 술술 넘어가는 책이었습니다~
5,2022-12-18,좋아요
5,2022-12-12,"꿈속에서 느끼는 것 들, 깨어나면 어느샌가 잊어버리는 것들을  잘 표현해주었어요."
5,2022-12-10,울고 웃으며 읽었어요. 크리스마스와 잘 어울리는 책이라서 선물하려고 또 주문했습니다.
5,2022-11-29,굿
5,2022-11-26,재미있었어요!
5,2022-11-23,출근길에 읽었는데 꿈꾸러 가고 싶어지는 책
5,2022-11-21,394 페이지 동안 행복하고 신기한 꿈을 꿨습니다
5,2022-11-18,잘 읽었습니다.
5,2022-11-16,꿈이라는 내용으로 이루어진 이 책은 나에게 많은 깨달음을 주었다.
5,2022-11-16,추천합니다
5,2022-10-22,등장인물들의 이름은 어렵고 헷갈리지만 재밌게 잘 읽었습니다.
5,2022-10-22,여행중에 읽으려고 구입했습니다 읽으면서 공감이되는 부분이 많았습니다
5,2022-10-18,재미있게 봤어요 2편도 곧 읽으려구요
5,2022-10-16,재밌다고 하네요 추천합니다
5,2022-10-15,잘 읽을게요.
5,2022-10-01,생각하게 하는 좋은 책
5,2022-09-29,잘봤습니다
5,2022-09-27,재미 있었어요
5,2022-09-19,잘 읽었습니다
5,2022-08-30,건조했던 삶에 단비같은 책이였습니다.
5,2022-08-29,큰애가 도서관에서 전에 읽었는데 학교에서 이걸로 수업해서 구입했어요
5,2022-08-28,꿈백화점이 있다면 문지방 닳게 드나들거에요. VVIP가 될때까지.
5,2022-08-25,재밌어요
5,2022-08-25,재밌어요
5,2022-08-22,재밌게 잘봤어요
5,2022-08-17,마지막에 살짝 울컥
5,2022-08-17,내용은 잘 모르겠지만 초등딸아이가 사달라고해서 구매했습니다 어린이들 읽어도 되는 거겠죠?
5,2022-08-15,꿈속에서몽글몽글
5,2022-08-15,새롭다... 진짜 정말 재밌어요
5,2022-08-13,상상력에 감탄했어요.
5,2022-08-12,겨울에 읽으면 더 좋을 것 같은 따뜻한 분위기의 책. 즐겁게 읽었습니다
5,2022-08-11,참 좋은 책 입니다
5,2022-08-10,잘봤습니다
5,2022-08-10,유명한 소설이길래 도전해봤습니다
5,2022-08-08,중간에 지루한 부분이 있어 읽다가 며칠동안 안 읽었지만 다시 읽었다. 재밌었다!
5,2022-08-06,짱재밌당
5,2022-08-03,재미있게 읽고 있어요
5,2022-07-28,자는 것을 좋아하는 이유를 찾았다
5,2022-07-27,잘 읽었습니다.
5,2022-07-16,너무 재미있어서 순식간에 다읽고 2권까지 읽기 시작합니다
5,2022-07-10,괜찮아요
5,2022-07-09,재미있어요
5,2022-07-06,재밌어여
5,2022-07-06,재밌어요
5,2022-07-05,"유명한데는 이유가 있었네요, 너무 재미있게 잘 읽었어요! 추천합니다~"
5,2022-07-04,굿굿
5,2022-06-24,"좋은 책, 잘 봤습니다~"
5,2022-06-08,잘봤어요
5,2022-06-08,잘 읽겠습니다
5,2022-06-08,좋은 책 입니다
5,2022-06-02,어른들이 필수로 읽어야하는 동화책
5,2022-06-01,☆☆☆☆☆
5,2022-05-25,좋아요
5,2022-05-25,재밌게잘읽었습니다.
5,2022-05-18,재밌게 읽었어요~
5,2022-05-16,몰입감도 좋고 재미있는 주제라 재미있게 읽었음
5,2022-05-14,재밌어요. 2권은 언제 나올까요?
5,2022-05-13,재밌습니다
5,2022-05-10,진짜 시간 가는 줄 모르고 집중해서 읽어버렸어요....
5,2022-05-02,너무 재미있습니다
5,2022-04-30,만족스러운 소설이었다 참신
5,2022-04-30,판타지와 꿈의 대화의 오묘한 경계를 넘나드는 감동 소설
5,2022-04-27,너무 재밌게 읽었어요. 아이디어가 너무 좋아요
5,2022-04-26,기발한 아이디어! 잼있어요
5,2022-04-24,소재가 독특하고 재밌네요
5,2022-04-24,너무 재미있게 읽었어요
5,2022-04-20,훈훈한 느낌의 이야기라서 힐링이 됩니다.
5,2022-04-20,좋아요
5,2022-04-18,잘읽었습니다
5,2022-04-15,꿈에 대해 좀더 흥미롭게 바라볼수 있는 책이예요
5,2022-04-12,유명한덴 이유가 있다
5,2022-04-03,좋아요
5,2022-04-03,좋아요
5,2022-03-31,읽기 편하고 잔잔한 감동까지 있는 좋은 작품
5,2022-03-29,너.무.좋.아.
5,2022-03-28,시간 가는 줄 모으고 읽었어요 재밌습니다
5,2022-03-28,이 책을 읽으면서 많은 위로를 받았고 많은 공감을 하게 되었습니다.
5,2022-03-27,"기발한 상상력과 현실의 유기적인 조합, 탄탄하고 세심한 세계관, 사랑스럽고 신비로운 인물들"
5,2022-03-26,가볍게읽기좋아요
5,2022-03-26,너무 좋아요. 작가님 좋은 글 감사드려요
5,2022-03-23,딸랑구가 꼭 읽어보고 싶다고 해서 주문했습니다
5,2022-03-20,꿈을 꾸는듯한 가볍게 읽기 좋은 책입니다.
5,2022-03-20,아이가 꼭 읽어 보고 싶다고 해서 주문했어요. 좋아하네요^^
5,2022-03-20,잠자리에서 펼쳤는데 잠 못 들게 만드는 이야기
5,2022-03-18,꿈에 대해 생각해보게 되고 흥미로웠어요
5,2022-03-17,영화로 나왔으면 좋겠어요 ㅠㅠ 마음을 울리는 주옥같은 말들이 너무 많아요.
5,2022-03-16,재밌어요
5,2022-03-16,재밌어요
5,2022-03-15,재미있게 읽음
5,2022-03-14,잘 보겠습니다
5,2022-03-14,회사에서 점심시간마다 한두장이라도 꼭 읽었습니다. 정말재밌어요ㅎㅎ
5,2022-03-14,잘 읽었어요.
5,2022-03-14,오랜만에 홀린듯이 재밌게 읽은 책
5,2022-03-12,꿈을 많이 꾸는 입장으로 정말 즐겁게 읽음. 중간중간 건네주는 위로는 마음을 따뜻하게 한다.
5,2022-03-11,"아이가 너무 읽고 싶어해서 1,2권 다 구매했는데 재밌다고 하네요"
5,2022-03-11,기분좋아지는 책이었어요 ^^
5,2022-03-06,흥미로운 소재 가볍게 읽기 좋아요~
5,2022-03-03,아직 안 읽어봤는데 얼른 읽고싶네요
5,2022-02-28,오랜만에 소설을!
5,2022-02-21,재미있게 읽었어요.
5,2022-02-21,흥미로운 소재라서 너무 재밌게 읽혀요
5,2022-02-21,시간 가는줄도 모르고 읽은 재미있는 책
5,2022-02-19,진짜 추천하고 싶은 책
5,2022-02-18,달러구트 꿈 백화점
5,2022-02-14,소재도 신선하고 기분좋게 재밌어요.
5,2022-02-12,몰입이 너무 잘되는 책 ㅠㅠ
5,2022-02-10,꿈을 소재로하여 몽환적이지만 짜임새있는 구성이 인상적이었습니다.
5,2022-02-09,아이가 재미있어 하네요.
5,2022-02-07,잘 읽겠습니다
5,2022-02-04,잘볼게요
5,2022-02-02,진짜 재미있게 읽고 있는중이예요!!
5,2022-01-29,재밌다고해서 구매
5,2022-01-29,잘 읽었어요
5,2022-01-28,재미있어요
5,2022-01-22,어른과 아이 모두 가볍게 읽기 좋은 내용의 책입니다
5,2022-01-21,동생한테 선물했는데 재밌게 읽었다네요^^
5,2022-01-20,꿈에대한 이견을 일러주어 재밌네요
5,2022-01-16,도사관에서 못구해서요
5,2022-01-12,아이가 재미있게 읽었어요
5,2022-01-06,재밌어요
5,2022-01-05,중학생 딸아이가 아주 재미있게 잘 읽었어요.
5,2022-01-03,재미있게 잘봤어요!!
5,2022-01-03,영화보는것처럼 읽다보면 눈앞에 그려짐
5,2022-01-02,재밌게 잘 읽었어요 ! 책 표지가 참 예쁘네요 ~
5,2022-01-02,"잔잔하게 마음을 울리는 책, 읽는 동안 꿈 같았던 책"
5,2022-01-01,아이들과 함께 읽으려고 샀어요
5,2021-12-30,너무 재미읽게 읽었습니다
5,2021-12-26,딸에게 선물했어요
5,2021-12-24,재밌게 잘 읽었습니다
5,2021-12-23,재밌었어요~ 아들도 같이 읽었어요^^
5,2021-12-21,최고입니다!!!
5,2021-12-20,잘 읽었습니다
5,2021-12-19,자는시간이 기대되요!! 실제로 꿈백화점이있으면 좋겠고 너무너무너무 재밌어요!!!
5,2021-12-14,꿈을 잃어버린 이에게 추천해요
5,2021-12-10,재밌었습니다
5,2021-12-09,잘 봤습니다
5,2021-12-09,소장용으로 구매했습니다
5,2021-12-07,아이들이 너무 재미있게 읽었어요. 진짜 베스트셀러
5,2021-12-03,재미있어요
5,2021-11-22,좋아요
5,2021-11-14,재밌게 잘 읽었어요:)
